"country" "taxRich" "religiousLaw" "freeElection" "helpUnemp" "armyTakesOver" "civilRights" "equalIncome" "obeyRulers" "genderEquality" "importance"
"32" "Germany" 8 3 8 8 6 6 7 8 10 9
"33" "Kazakhstan" 10 6 10 10 10 10 10 10 5 10
"34" "Netherlands" 3 1 8 8 5 4 4 9 10 9
"35" "Poland" 5 3 6 4 5 4 5 2 5 1
"36" "Romania" 10 1 10 10 1 10 1 1 10 1
"37" "Russia" 6 5 7 8 7 6 5 6 5 5
"38" "Slovenia" 4 4 8 5 6 4 5 5 5 4
"39" "Spain" 9 6 8 9 2 9 3 10 10 9
"40" "Sweden" 10 1 10 10 3 8 8 5 10 7
"41" "Turkey" 10 6 10 10 10 10 10 10 10 10
"42" "Ukraine" 5 4 3 3 4 5 4 3 5 4
"43" "Belarus" 4 4 10 4 1 10 5 2 5 8
"44" "Estonia" 6 1 9 6 1 10 1 2 9 8
"45" "Georgia" 1 2 10 10 1 10 8 2 10 10
"46" "Germany" 7 3 10 10 2 10 7 3 10 10
"47" "Kazakhstan" 10 1 10 10 2 10 10 8 10 10
"48" "Netherlands" 6 6 6 7 6 6 6 5 8 7
"49" "Poland" 5 1 10 5 1 5 5 5 10 5
"50" "Romania" 1 1 9 8 1 9 7 7 5 9
"51" "Russia" 9 10 9 9 10 9 9 10 10 7
"52" "Slovenia" 7 1 10 7 5 9 8 7 10 5
"53" "Spain" 8 1 5 9 1 10 6 6 10 9
"54" "Sweden" 7 1 10 10 1 10 1 1 10 10
"55" "Turkey" 7 7 8 7 7 8 7 8 7 8
"56" "Ukraine" 10 3 10 10 1 10 6 2 10 10
"57" "Belarus" 6 5 5 6 4 4 5 5 4 3
"58" "Estonia" 10 1 10 10 1 10 10 10 10 8
"59" "Georgia" 1 1 10 10 7 10 1 1 10 10
"60" "Germany" 8 2 10 9 1 8 6 3 10 10
"61" "Kazakhstan" 5 2 7 7 2 8 8 8 9 8
"62" "Netherlands" 6 1 8 7 1 8 2 6 9 7
"63" "Poland" 10 10 10 10 10 10 10 10 10 10
"64" "Romania" 1 8 10 8 2 10 10 10 10 10
"65" "Russia" 8 8 7 6 7 4 3 3 4 4
"66" "Slovenia" 10 1 5 10 1 10 8 9 10 10
"67" "Spain" 10 3 10 10 4 10 10 5 10 9
"68" "Sweden" 7 1 4 8 1 7 1 5 10 5
"69" "Turkey" 7 8 7 6 8 8 8 7 8 9
"70" "Ukraine" 10 7 3 8 1 8 9 8 9 8
"71" "Belarus" 3 2 8 7 1 9 5 2 7 7
"72" "Estonia" 5 3 10 7 3 8 5 5 10 7
"73" "Georgia" 4 4 4 3 5 5 5 6 5 6
"74" "Germany" 10 1 10 10 1 1 1 1 1 10
"75" "Kazakhstan" 10 1 9 10 1 9 9 1 8 10
"76" "Netherlands" 6 1 10 7 2 8 6 5 10 10
"77" "Poland" 9 6 10 9 2 9 5 6 9 9
"78" "Romania" 1 1 10 10 1 10 10 10 10 10
"79" "Russia" 5 5 5 5 5 5 5 5 5 5
"80" "Slovenia" 1 3 10 10 3 3 6 1 10 10
"81" "Spain" 7 7 7 7 1 6 8 8 9 7
"82" "Sweden" 8 3 10 10 3 8 7 5 10 10
"83" "Turkey" 7 8 8 7 7 8 7 7 7 8
"84" "Ukraine" 5 6 6 6 6 6 6 6 6 7
"85" "Belarus" 9 6 9 10 6 9 10 6 9 9
"86" "Estonia" 10 1 8 10 1 10 10 7 10 3
"87" "Georgia" 2 2 10 9 8 10 4 10 9 10
"88" "Germany" 10 1 10 10 1 10 1 1 10 10
"89" "Kazakhstan" 5 5 8 8 10 10 10 10 10 10
"90" "Netherlands" 7 2 8 8 1 7 6 6 9 9
"91" "Poland" 8 3 9 7 3 9 7 7 10 8
"92" "Romania" 5 5 5 5 5 5 5 5 5 8
"93" "Russia" 7 8 7 5 8 9 9 6 4 7
"94" "Slovenia" 8 1 10 7 3 9 8 2 10 10
"95" "Spain" 5 1 8 8 5 8 8 8 10 10
"96" "Sweden" 5 5 5 10 7 7 10 5 10 10
"97" "Turkey" 10 8 7 7 8 7 8 7 6 9
"98" "Ukraine" 9 4 10 7 1 10 8 1 10 8
"99" "Belarus" 7 8 6 10 8 10 10 8 10 10
"100" "Estonia" 2 2 8 4 3 6 4 3 7 8
"101" "Georgia" 8 1 10 10 8 8 1 2 10 10
"102" "Germany" 5 5 5 5 5 5 5 1 10 9
"103" "Kazakhstan" 1 1 10 10 1 10 5 10 10 10
"104" "Netherlands" 8 1 9 8 8 9 9 7 10 9
"105" "Poland" 10 1 9 9 3 9 9 3 9 7
"106" "Romania" 3 2 10 10 5 10 4 10 10 9
"107" "Russia" 1 1 9 1 1 1 1 1 1 6
"108" "Slovenia" 5 5 5 4 7 8 6 4 6 8
"109" "Spain" 9 1 9 9 1 9 9 9 9 10
"110" "Sweden" 5 1 10 10 1 10 4 4 10 7
"111" "Turkey" 10 10 10 10 10 10 10 10 10 10
"112" "Ukraine" 7 5 9 8 2 9 5 8 5 5
"113" "Belarus" 1 1 1 1 1 1 1 1 1 6
"114" "Estonia" 5 1 10 8 1 10 4 1 10 10
"115" "Georgia" 1 1 10 10 10 10 8 7 10 10
"116" "Germany" 8 1 10 10 1 10 8 1 10 10
"117" "Kazakhstan" 8 8 8 10 5 10 10 10 10 10
"118" "Netherlands" 7 3 6 5 2 7 3 4 8 8
"119" "Poland" 3 3 10 10 3 10 8 4 10 9
"120" "Romania" 5 5 8 5 7 7 7 7 7 8
"121" "Russia" 9 9 9 9 9 9 9 9 9 9
"122" "Slovenia" 5 1 10 5 1 5 3 1 10 7
"123" "Spain" 8 7 10 10 1 10 9 4 10 10
"124" "Sweden" 2 1 10 2 1 10 2 6 10 9
"125" "Turkey" 7 3 9 10 1 6 7 4 8 9
"126" "Ukraine" 10 1 10 10 1 10 5 5 10 10
"127" "Belarus" 7 1 10 7 1 6 1 1 8 8
"128" "Estonia" 5 2 9 8 2 5 6 1 10 9
"129" "Georgia" 9 2 9 9 2 8 2 2 9 10
"130" "Germany" 6 1 10 10 1 10 2 1 10 10
"131" "Kazakhstan" 2 3 9 7 6 6 7 6 10 8
"132" "Netherlands" 8 2 8 8 6 8 4 6 8 8
"133" "Poland" 1 1 10 3 1 10 1 5 10 10
"134" "Romania" 10 10 10 10 10 10 10 10 10 10
"135" "Russia" 8 2 8 9 2 9 9 9 9 8
"136" "Slovenia" 2 2 9 5 2 9 9 2 9 2
"137" "Spain" 7 1 10 8 1 10 7 5 10 10
"138" "Sweden" 10 1 10 10 1 10 3 2 10 8
"139" "Turkey" 10 10 10 10 10 10 10 6 10 10
"140" "Ukraine" 8 7 8 7 6 7 8 7 7 9
"141" "Belarus" 3 5 6 4 4 5 4 5 3 6
"142" "Estonia" 7 3 10 10 1 10 2 2 9 10
"143" "Georgia" 3 3 10 8 5 3 3 3 8 8
"144" "Germany" 7 2 9 7 2 8 7 3 10 8
"145" "Kazakhstan" 7 9 8 6 9 6 9 4 7 8
"146" "Netherlands" 9 2 10 10 5 10 6 6 10 10
"147" "Poland" 9 1 10 10 9 10 10 10 10 10
"148" "Romania" 9 2 8 2 9 2 2 2 9 9
"149" "Russia" 10 2 10 10 5 10 10 4 10 8
"150" "Slovenia" 6 7 6 5 6 7 8 9 8 8
"151" "Spain" 10 1 10 10 1 10 7 10 10 10
"152" "Sweden" 8 3 10 5 3 9 3 6 10 8
"153" "Turkey" 10 10 10 10 10 10 10 10 10 9
"154" "Ukraine" 5 8 10 10 10 10 5 5 9 10
"155" "Belarus" 1 5 3 6 8 5 5 8 5 7
"156" "Estonia" 10 5 10 10 6 7 10 5 10 5
"157" "Georgia" 1 2 10 10 1 8 6 2 5 10
"158" "Germany" 8 3 10 9 1 7 7 1 10 8
"159" "Kazakhstan" 1 1 10 10 10 10 1 10 10 10
"160" "Netherlands" 8 2 10 8 1 9 7 2 10 10
"161" "Poland" 10 1 10 10 1 10 10 6 10 10
"162" "Romania" 10 10 10 10 1 10 10 1 10 4
"163" "Russia" 4 3 8 6 5 6 4 4 7 6
"164" "Slovenia" 4 1 8 5 2 5 1 1 7 1
"165" "Spain" 5 7 7 5 5 7 8 5 6 10
"166" "Sweden" 5 1 10 10 10 10 1 5 10 1
"167" "Turkey" 4 1 8 9 2 3 7 4 9 7
"168" "Ukraine" 10 7 9 10 5 7 4 6 3 2
"169" "Belarus" 5 2 10 9 1 10 6 3 8 6
"170" "Estonia" 8 8 7 10 9 8 10 8 10 10
"171" "Georgia" 8 8 7 8 6 7 7 9 10 9
"172" "Germany" 10 1 10 8 2 10 2 1 10 10
"173" "Kazakhstan" 3 1 10 5 1 10 6 6 10 10
"174" "Netherlands" 7 1 10 7 1 10 4 3 9 10
"175" "Poland" 5 3 10 7 1 10 1 1 10 10
"176" "Romania" 7 2 10 10 2 10 7 6 10 10
"177" "Russia" 6 3 4 5 6 8 7 6 3 9
"178" "Slovenia" 3 1 7 7 5 8 8 6 8 7
"179" "Spain" 9 2 10 10 1 9 8 1 9 9
"180" "Sweden" 7 1 10 8 1 10 1 1 10 10
"181" "Turkey" 9 10 8 9 8 9 7 8 9 9
"182" "Ukraine" 1 4 10 10 5 7 5 7 9 10
"183" "Belarus" 8 8 9 5 5 8 7 5 8 8
"184" "Estonia" 9 4 9 9 9 9 9 8 9 8
"185" "Georgia" 5 4 6 7 6 6 3 6 9 8
"186" "Germany" 8 1 9 8 1 8 6 3 9 10
"187" "Kazakhstan" 10 5 10 10 2 9 9 9 10 6
"188" "Netherlands" 7 3 9 5 6 9 5 5 10 10
"189" "Poland" 10 1 10 5 1 10 7 1 10 7
"190" "Romania" 4 2 8 5 4 7 6 6 9 7
"191" "Russia" 10 1 10 10 1 10 10 7 10 9
"192" "Slovenia" 4 8 10 6 1 10 8 10 10 10
"193" "Spain" 4 4 5 5 4 6 6 5 5 6
"194" "Sweden" 1 1 10 1 1 10 1 1 10 7
"195" "Turkey" 4 4 3 4 4 4 3 4 4 9
"196" "Ukraine" 5 5 6 6 5 5 2 2 2 5
"197" "Belarus" 1 3 10 10 3 10 10 10 10 10
"198" "Estonia" 6 4 10 10 3 10 8 1 10 10
"199" "Georgia" 4 5 6 4 3 6 4 6 4 9
"200" "Germany" 10 1 10 10 1 10 10 1 10 10
"201" "Kazakhstan" 8 4 10 10 6 9 5 9 10 9
"202" "Netherlands" 7 1 9 7 1 10 5 1 10 10
"203" "Poland" 5 3 8 8 7 8 9 8 9 10
"204" "Romania" 5 1 10 10 1 10 10 1 10 10
"205" "Russia" 10 2 9 10 3 10 10 9 10 10
"206" "Slovenia" 8 1 10 10 1 10 10 10 10 10
"207" "Spain" 6 7 6 8 1 7 8 6 5 7
"208" "Sweden" 2 1 10 8 1 10 1 2 9 10
"209" "Turkey" 5 7 6 6 8 3 3 8 7 5
"210" "Ukraine" 7 1 10 8 1 10 7 9 10 7
"211" "Belarus" 9 2 10 9 5 5 5 5 5 10
"212" "Estonia" 9 8 7 10 9 8 9 9 8 9
"213" "Georgia" 5 4 10 10 8 8 4 5 9 9
"214" "Germany" 3 1 9 7 1 10 7 1 10 10
"215" "Kazakhstan" 9 2 9 10 3 10 10 9 9 9
"216" "Netherlands" 3 2 10 8 1 10 5 7 10 10
"217" "Poland" 7 2 10 10 7 10 7 3 10 10
"218" "Romania" 1 1 1 1 1 1 1 1 1 3
"219" "Russia" 10 1 10 10 1 10 6 2 10 7
"220" "Slovenia" 1 1 1 7 1 1 1 1 5 10
"221" "Spain" 8 1 9 9 1 10 6 6 10 7
"222" "Sweden" 3 3 3 4 4 5 2 4 10 5
"223" "Turkey" 10 3 10 10 2 10 8 5 10 7
"224" "Ukraine" 8 7 6 5 5 6 5 5 5 5
"225" "Belarus" 9 1 10 8 2 9 9 3 9 9
"226" "Estonia" 5 2 10 7 1 10 5 5 5 9
"227" "Georgia" 10 1 10 10 1 10 8 8 10 6
"228" "Germany" 6 1 10 7 1 8 6 1 10 10
"229" "Kazakhstan" 10 10 10 10 10 10 10 10 10 6
"230" "Netherlands" 4 4 7 7 3 7 5 4 8 10
"231" "Poland" 7 6 8 8 8 8 7 8 7 7
"232" "Romania" 10 8 9 10 6 10 9 5 10 10
"233" "Russia" 10 1 10 10 7 5 10 6 10 9
"234" "Slovenia" 10 1 10 10 1 10 10 10 10 10
"235" "Spain" 6 1 10 10 1 10 10 9 10 10
"236" "Sweden" 7 1 10 10 1 10 1 1 10 10
"237" "Turkey" 1 1 10 10 1 5 8 1 8 8
"238" "Ukraine" 4 5 6 5 4 5 5 6 6 4
"239" "Belarus" 9 2 9 8 2 9 7 4 10 8
"240" "Estonia" 9 1 10 10 5 8 6 7 10 8
"241" "Georgia" 8 3 10 10 6 9 10 10 10 10
"242" "Germany" 9 10 5 10 1 8 5 2 10 5
"243" "Kazakhstan" 8 3 10 8 4 10 7 9 8 10
"244" "Netherlands" 5 1 8 3 1 1 1 1 1 6
"245" "Poland" 8 4 9 8 3 8 8 4 10 8
"246" "Romania" 10 7 10 10 10 10 10 3 10 10
"247" "Russia" 10 9 10 10 10 10 10 8 10 9
"248" "Slovenia" 5 1 10 10 5 10 10 10 10 10
"249" "Spain" 10 5 10 10 1 8 8 7 10 10
"250" "Sweden" 1 1 10 1 1 10 1 1 1 10
"251" "Turkey" 9 2 7 9 6 7 7 4 10 9
"252" "Ukraine" 3 3 3 3 2 2 1 10 10 5
"253" "Belarus" 4 4 7 7 4 7 5 5 5 6
"254" "Estonia" 5 8 8 9 4 5 7 2 10 10
"255" "Georgia" 1 1 10 8 1 9 2 2 9 10
"256" "Germany" 5 1 10 8 1 8 2 1 10 10
"257" "Kazakhstan" 3 1 8 10 5 8 8 9 10 5
"258" "Netherlands" 8 2 8 7 4 8 6 6 9 9
"259" "Poland" 3 1 10 5 3 8 8 8 9 10
"260" "Romania" 10 1 10 10 1 10 10 1 10 5
"261" "Russia" 7 8 7 8 7 6 7 8 7 7
"262" "Slovenia" 4 4 6 10 10 4 7 3 8 4
"263" "Spain" 10 1 10 10 3 10 7 1 10 9
"264" "Sweden" 5 1 10 7 1 1 1 1 10 10
"265" "Turkey" 4 3 4 4 3 4 3 4 3 7
"266" "Ukraine" 10 3 10 10 1 10 10 9 10 8
"267" "Belarus" 7 4 8 5 5 7 5 5 5 6
"268" "Estonia" 7 6 8 7 7 8 6 8 8 6
"269" "Georgia" 4 7 10 10 9 8 7 9 10 10
"270" "Germany" 8 1 10 10 1 10 7 1 10 10
"271" "Kazakhstan" 9 5 10 9 2 9 9 10 10 10
"272" "Netherlands" 1 1 10 3 1 10 3 9 9 10
"273" "Poland" 10 1 10 10 10 10 10 5 10 10
"274" "Romania" 1 1 10 1 1 10 10 5 10 10
"275" "Russia" 4 1 8 8 7 9 4 2 9 7
"276" "Slovenia" 10 1 10 10 1 10 10 10 10 10
"277" "Spain" 9 7 8 6 7 6 9 7 10 10
"278" "Sweden" 6 1 10 8 1 10 1 1 10 10
"279" "Turkey" 8 2 9 8 9 8 9 1 9 9
"280" "Ukraine" 10 1 10 10 2 10 10 5 10 8
"281" "Belarus" 9 5 5 9 9 9 9 5 9 10
"282" "Estonia" 9 1 10 9 7 9 3 1 2 10
"283" "Georgia" 2 2 10 10 3 10 3 3 9 10
"284" "Germany" 10 1 10 8 1 10 3 1 10 10
"285" "Kazakhstan" 9 1 10 10 1 1 2 6 2 10
"286" "Netherlands" 3 1 8 10 2 10 5 4 10 9
"287" "Poland" 7 5 10 7 4 10 6 3 10 9
"288" "Romania" 7 1 9 3 9 10 5 3 5 9
"289" "Russia" 3 2 10 10 8 9 10 9 10 10
"290" "Slovenia" 5 1 10 10 1 10 10 10 10 5
"291" "Spain" 9 2 10 10 1 10 10 3 10 10
"292" "Sweden" 10 1 10 10 1 10 8 1 10 10
"293" "Turkey" 10 10 10 10 1 10 10 2 10 10
"294" "Ukraine" 9 4 10 9 1 10 6 1 5 8
"295" "Belarus" 5 5 5 5 5 5 5 5 5 7
"296" "Estonia" 8 1 10 7 1 10 8 10 10 10
"297" "Georgia" 5 3 7 8 4 5 8 5 7 9
"298" "Germany" 5 1 10 9 7 10 7 9 10 10
"299" "Kazakhstan" 9 6 10 10 4 9 10 10 10 10
"300" "Netherlands" 3 10 1 1 6 1 2 7 1 10
"301" "Poland" 1 1 10 10 10 10 1 1 10 10
"302" "Romania" 10 10 10 4 5 8 8 10 5 10
"303" "Russia" 10 1 5 10 3 10 10 4 10 10
"304" "Slovenia" 8 1 10 8 1 10 8 3 10 7
"305" "Spain" 5 5 7 7 5 7 7 7 7 8
"306" "Sweden" 7 1 10 10 1 7 3 3 10 10
"307" "Turkey" 8 7 8 6 8 7 8 8 7 9
"308" "Ukraine" 9 1 9 10 5 10 8 9 8 3
"309" "Belarus" 10 10 10 10 10 10 10 10 10 10
"310" "Estonia" 9 1 10 10 2 8 8 2 9 9
"311" "Georgia" 4 4 8 5 5 4 4 5 5 6
"312" "Germany" 10 5 8 5 10 7 1 8 5 6
"313" "Kazakhstan" 10 9 10 8 9 9 10 8 7 8
"314" "Netherlands" 7 1 10 7 1 10 3 2 10 10
"315" "Poland" 3 2 10 3 2 10 6 1 8 2
"316" "Romania" 6 1 10 5 7 10 9 9 10 10
"317" "Russia" 8 1 10 5 1 10 6 4 10 10
"318" "Slovenia" 10 1 10 3 1 8 3 5 10 10
"319" "Spain" 10 1 10 10 1 10 10 10 10 10
"320" "Sweden" 9 2 10 10 1 7 3 2 9 10
"321" "Turkey" 9 8 8 9 2 8 8 9 8 9
"322" "Ukraine" 1 10 10 1 10 4 1 10 10 1
"323" "Belarus" 9 3 10 8 1 10 5 5 10 10
"324" "Estonia" 7 1 9 8 2 9 8 6 9 9
"325" "Georgia" 3 5 3 6 5 4 3 4 4 6
"326" "Germany" 9 2 10 9 2 2 10 1 10 9
"327" "Kazakhstan" 10 6 10 10 4 10 10 10 10 1
"328" "Netherlands" 6 1 10 10 7 10 6 6 9 8
"329" "Poland" 5 2 10 10 7 10 10 3 10 10
"330" "Romania" 1 1 6 1 9 1 1 9 9 10
"331" "Russia" 9 5 9 9 5 10 9 9 9 9
"332" "Slovenia" 2 8 5 8 2 5 1 1 5 10
"333" "Spain" 4 2 10 4 2 9 1 10 10 10
"334" "Sweden" 9 1 10 10 1 10 2 2 10 10
"335" "Turkey" 10 10 10 10 10 10 10 10 10 10
"336" "Ukraine" 4 3 10 10 2 8 10 9 10 10
"337" "Belarus" 3 1 10 5 10 10 5 10 10 10
"338" "Estonia" 5 1 10 10 4 8 8 1 10 10
"339" "Georgia" 10 3 10 10 1 10 9 6 10 10
"340" "Germany" 7 5 7 7 4 6 8 7 7 10
"341" "Kazakhstan" 5 6 4 6 4 6 5 7 5 5
"342" "Netherlands" 6 1 10 8 1 10 1 4 10 10
"343" "Poland" 6 1 10 7 2 10 9 5 10 8
"344" "Romania" 5 5 1 1 3 1 3 4 1 10
"345" "Russia" 4 1 10 9 1 10 10 2 10 8
"346" "Slovenia" 6 4 7 7 5 7 7 7 7 7
"347" "Spain" 8 7 6 5 8 7 7 6 7 7
"348" "Sweden" 5 5 5 8 4 8 10 6 10 4
"349" "Turkey" 7 4 9 8 7 8 7 7 9 8
"350" "Ukraine" 8 5 9 8 9 9 9 8 9 10
"351" "Belarus" 4 2 9 9 2 5 2 2 9 8
"352" "Estonia" 1 5 5 10 5 8 6 7 1 6
"353" "Georgia" 9 2 9 9 2 9 2 2 9 10
"354" "Germany" 6 1 10 10 1 5 1 2 10 7
"355" "Kazakhstan" 5 5 5 5 5 5 5 5 5 5
"356" "Netherlands" 7 5 10 8 4 9 6 3 9 9
"357" "Poland" 7 3 10 8 2 9 5 3 10 9
"358" "Romania" 4 7 7 7 4 9 9 8 10 10
"359" "Russia" 10 5 9 9 4 9 9 9 9 8
"360" "Slovenia" 10 1 9 8 2 10 9 4 10 9
"361" "Spain" 10 1 10 10 1 10 4 8 10 10
"362" "Sweden" 4 1 10 6 1 10 5 6 8 10
"363" "Turkey" 10 9 7 7 6 7 6 5 7 9
"364" "Ukraine" 4 5 6 7 4 3 4 5 3 5
"365" "Belarus" 6 1 10 5 1 10 1 1 10 10
"366" "Estonia" 3 1 10 10 2 10 5 1 10 10
"367" "Georgia" 7 3 9 9 2 10 7 7 10 10
"368" "Germany" 10 1 10 10 1 7 7 1 10 10
"369" "Kazakhstan" 1 1 10 10 10 5 10 10 10 8
"370" "Netherlands" 5 1 10 7 1 10 7 1 10 10
"371" "Poland" 5 5 10 5 1 10 1 1 10 10
"372" "Romania" 1 1 10 10 1 10 1 1 10 10
"373" "Russia" 10 2 10 10 1 10 10 10 10 9
"374" "Slovenia" 5 2 10 10 1 10 10 5 10 10
"375" "Spain" 7 6 7 8 7 6 5 8 9 6
"376" "Sweden" 4 1 9 9 2 10 1 6 10 10
"377" "Turkey" 10 5 10 10 5 10 10 10 10 10
"378" "Ukraine" 10 5 10 10 1 10 10 10 10 10
"379" "Belarus" 8 8 10 10 3 2 2 2 10 2
"380" "Estonia" 10 1 10 7 2 10 1 1 10 10
"381" "Georgia" 7 1 10 10 4 10 6 6 10 10
"382" "Germany" 8 1 10 9 1 10 1 1 10 10
"383" "Kazakhstan" 9 1 10 10 6 10 10 5 10 10
"384" "Netherlands" 9 1 9 9 2 9 8 5 10 9
"385" "Poland" 5 2 10 10 1 10 7 1 10 10
"386" "Romania" 10 1 10 1 1 10 10 5 10 10
"387" "Russia" 6 4 10 10 7 9 8 7 10 10
"388" "Slovenia" 10 4 10 9 8 10 10 5 10 1
"389" "Spain" 5 1 10 5 1 10 5 6 10 8
"390" "Sweden" 6 1 10 10 8 10 1 1 10 10
"391" "Turkey" 10 10 10 10 10 10 10 10 10 10
"392" "Ukraine" 4 1 1 10 3 10 5 4 10 9
"393" "Belarus" 9 2 9 7 1 5 8 2 1 10
"394" "Estonia" 8 3 5 8 3 6 6 4 9 8
"395" "Georgia" 7 4 6 9 2 8 9 8 9 9
"396" "Germany" 3 5 4 6 5 6 4 3 7 6
"397" "Kazakhstan" 10 3 10 10 7 10 10 8 10 10
"398" "Netherlands" 6 1 9 9 1 10 3 7 10 9
"399" "Poland" 6 3 10 10 5 9 8 5 10 10
"400" "Romania" 8 8 8 8 8 8 8 8 8 8
"401" "Russia" 10 1 10 10 7 10 10 10 10 10
"402" "Slovenia" 8 3 8 9 5 6 8 5 7 7
"403" "Spain" 7 6 7 6 5 6 6 7 6 8
"404" "Sweden" 6 5 4 5 5 4 5 6 5 5
"405" "Turkey" 9 9 8 8 1 5 5 6 8 10
"406" "Ukraine" 5 1 9 9 1 5 9 1 10 9
"407" "Belarus" 9 3 10 7 5 9 1 8 10 7
"408" "Estonia" 7 4 8 7 6 7 8 7 8 8
"409" "Georgia" 1 8 10 10 1 10 1 1 10 10
"410" "Germany" 8 1 10 10 4 10 3 1 10 10
"411" "Kazakhstan" 3 1 10 8 2 9 3 8 10 3
"412" "Netherlands" 7 1 7 7 6 8 8 1 10 10
"413" "Poland" 10 1 10 10 1 10 1 1 10 10
"414" "Romania" 6 4 9 10 3 10 4 5 10 10
"415" "Russia" 5 1 10 7 1 10 1 4 9 10
"416" "Slovenia" 8 1 8 8 2 9 9 9 10 10
"417" "Spain" 8 1 10 10 1 10 10 5 10 10
"418" "Sweden" 9 1 10 7 1 10 1 1 10 10
"419" "Turkey" 9 4 10 10 10 6 6 7 8 10
"420" "Ukraine" 8 5 5 10 5 5 10 3 10 10
"421" "Belarus" 5 5 5 5 5 5 5 5 5 5
"422" "Estonia" 4 8 10 8 2 6 6 3 10 10
"423" "Georgia" 9 2 9 9 2 9 2 9 9 10
"424" "Germany" 5 1 10 8 1 10 5 1 10 10
"425" "Kazakhstan" 10 6 10 10 10 10 7 8 9 10
"426" "Netherlands" 8 2 9 6 1 8 5 2 10 10
"427" "Poland" 5 4 5 1 1 10 5 1 10 10
"428" "Romania" 3 2 10 10 1 9 3 8 10 10
"429" "Russia" 10 1 10 10 9 10 10 10 10 10
"430" "Slovenia" 10 5 10 8 7 10 10 6 10 10
"431" "Spain" 7 1 10 10 1 10 5 1 10 6
"432" "Sweden" 7 1 10 1 1 10 1 1 10 10
"433" "Turkey" 6 1 4 8 6 6 1 8 6 8
"434" "Ukraine" 10 1 10 10 6 10 6 1 10 10
"435" "Belarus" 5 5 5 5 3 5 5 5 6 6
"436" "Estonia" 7 5 9 7 6 9 5 6 10 9
"437" "Georgia" 1 1 10 10 1 10 8 3 7 10
"438" "Germany" 4 7 6 8 6 3 7 4 6 8
"439" "Kazakhstan" 9 2 9 10 4 4 10 8 5 9
"440" "Netherlands" 7 2 7 8 3 8 9 3 7 5
"441" "Poland" 10 1 10 10 1 10 10 1 10 5
"442" "Romania" 2 2 9 7 9 9 2 6 9 6
"443" "Russia" 10 10 10 10 10 10 10 1 10 1
"444" "Slovenia" 10 2 10 10 5 9 10 3 10 2
"445" "Spain" 5 6 7 6 5 5 5 8 7 7
"446" "Sweden" 10 1 10 10 1 10 8 8 10 10
"447" "Turkey" 2 3 10 8 5 9 9 7 7 9
"448" "Ukraine" 9 4 8 6 3 6 8 5 8 6
"449" "Belarus" 8 1 8 8 1 8 8 8 8 1
"450" "Estonia" 6 2 10 9 1 10 4 1 10 10
"451" "Georgia" 10 5 10 10 10 10 6 6 6 10
"452" "Germany" 3 6 9 5 5 8 3 3 9 7
"453" "Kazakhstan" 8 1 10 7 6 10 10 9 10 10
"454" "Netherlands" 8 2 10 10 2 10 9 3 10 10
"455" "Poland" 1 5 10 10 1 8 1 1 8 3
"456" "Romania" 1 1 10 5 1 10 5 10 10 10
"457" "Russia" 6 6 6 6 4 6 6 6 7 8
"458" "Slovenia" 7 2 4 3 4 10 5 8 10 8
"459" "Spain" 10 6 7 10 7 8 9 7 8 10
"460" "Sweden" 5 2 10 6 3 6 5 2 10 9
